country_id,country_name,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,GDP growth (annual %),2024,2.76383869054277,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2023,1.9311603523693,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2022,3.72271692296214,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2021,4.57877206871177,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2020,-2.81757208724623,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2019,2.03007686221603,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2018,2.70519413363353,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2017,2.67752389715308,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2016,2.13011703002091,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2015,2.93402965863687,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2014,3.92038970191821,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2013,4.35668249727492,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2012,1.89717291956102,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2011,4.07747696614018,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2010,5.30790438645938,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2009,0.919472850509038,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2008,4.43752919445292,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2007,6.70003329209791,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2006,6.63749738735714,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2005,6.17365914390395,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2004,5.63469800866547,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2003,3.00937249317595,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2002,3.91711337379634,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,GDP growth (annual %),2001,3.50353308518427,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2024,4.5856736208091,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2023,3.66242752919044,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2022,4.47279468511532,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2021,2.54969083217036,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2020,-3.73062984236253,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2019,3.28168276850104,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2018,2.90466430784954,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2017,2.29634886599959,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2016,0.194316483405615,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2015,2.93286367242145,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2014,5.6915512073646,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2013,6.04669213138413,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2012,5.12970299383294,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2011,4.92204702375463,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2010,7.00073960255909,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2009,6.14119135977269,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2008,6.21081188431489,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2007,5.44753043563995,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2006,5.28717104206022,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2005,5.79743371948868,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2004,8.07147345054227,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2003,5.62636064767845,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2002,9.94330712251539,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,GDP growth (annual %),2001,5.24868324071915,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2024,1.70353102787844,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2023,1.63495022269882,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2022,7.00775934349392,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2021,4.43160883511413,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2020,-5.30102786914752,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2019,1.74778112240244,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2018,2.67255324455269,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2017,1.32901000226768,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2016,3.57286827951262,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2015,3.35080366726505,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2014,2.6597523137165,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2013,2.64732060879508,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2012,5.49375422924652,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2011,3.85320358755794,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2010,4.84064243847079,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2009,0.648247152976467,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2008,5.57116008739757,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2007,4.60116470281086,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2006,6.27629734101787,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2005,5.57295529835658,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2004,9.07459188707816,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2003,4.29553168417596,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2002,1.22074845072102,Aggregates,Aggregates,Aggregates,,
1A,Arab World,GDP growth (annual %),2001,2.09740745302985,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2024,13.3129250895082,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2023,8.83833676011841,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2022,14.8851030062619,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2021,6.53181248270917,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2020,-9.0291630332097,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2019,0.875117819991502,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2018,1.21087866602529,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2017,-0.745458058997372,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2016,-3.08019901728429,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2015,-0.100918343775831,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2014,2.59149738961506,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2013,1.37522571423916,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2012,4.03485699947825,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2011,0.886353024582334,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2010,1.85821449903838,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2009,-3.39231957790483,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2008,1.69966604699709,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2007,3.84674166509373,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2006,7.83209779101442,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2005,4.39522842972688,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2004,4.66068583586366,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2003,6.09993647177596,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2002,3.9850481450781,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,GDP growth (annual %),2001,2.10316136448954,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2024,2.0701601704917,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2023,0.70736329484285,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2022,4.04227221314891,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2021,6.57225386036488,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2020,-3.30111999071748,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2019,4.03229063844108,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2018,4.95337799401428,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2017,5.1071317914476,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2016,2.80726176295552,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2015,4.00166179134685,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2014,3.26201255415126,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2013,0.667866777557364,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2012,0.837956413944042,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2011,3.60060363619606,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2010,1.5384784947519,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2009,-3.62226734473313,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2008,3.96228066394433,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2007,6.33886223547218,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2006,6.64053519444492,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2005,4.90983938008229,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2004,5.87404889000118,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2003,3.99687092421381,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2002,3.54243996924046,Aggregates,Aggregates,Aggregates,,
B8,Central Europe and the Baltics,GDP growth (annual %),2001,3.00541163057468,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2024,3.66894359356225,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2023,4.59507205032629,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2022,6.02119005770159,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2021,7.50999857340686,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2020,-4.30295004163716,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2019,2.26986665615696,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2018,3.60797948282917,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2017,4.4871113513677,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2016,4.13628805469052,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2015,4.24282022448064,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2014,3.98571115342467,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2013,4.03077677401183,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2012,4.23032506652108,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2011,4.95235981152094,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2010,6.38102086180527,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2009,0.64699504158898,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2008,3.48673124260084,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2007,5.76681812549049,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2006,6.14128391149524,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2005,5.9717681179724,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2004,6.36558361842114,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2003,4.97750125527557,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2002,1.73460455798586,Aggregates,Aggregates,Aggregates,,
V2,Early-demographic dividend,GDP growth (annual %),2001,1.2002164554104,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,GDP growth (annual %),2024,3.79010550023051,Aggregates,Aggregates,Aggregates,,
Z4,East Asia & Pacific,GDP growth (annual %),2023,4.20566738267351,Aggregates,Aggregates,Aggregates,,
